name,artist,vibes,tempo,loudness,energy,danceability,key,mode,duration
Life's Blood,Eighteen Visions,alternative metal post-hardcore post-grunge modern rock melodic metalcore straight edge heavy metal screamo melodic hardcore christian rock,109.44,-6.08,0.0,0.0,6,1,171.1
End Of The Beginning,30 Seconds To Mars,rock pop alternative screamo hard rock acoustic metal guitar emotional heavy,98.51,-5.64,0.0,0.0,10,0,277.3
Kicking And Screaming,Funeral For A Friend,post-hardcore screamo emo rock hardcore alternative punk emocore emo rock grunge,134.01,-3.86,0.0,0.0,2,1,205.2
Black Connect 3,Camp Lo,pop rap jazz rap hip hop east coast hip hop alternative hip hop rap acid jazz underground hip hop east coast rap club dance,111.81,-10.48,0.0,0.0,10,0,267.2
Terraplane Blues,Scott Ainslie,blues folk rock folk acoustic blues texas rock vocal americana vermont kerrville folk festival,103.83,-11.7,0.0,0.0,2,1,208.1
Toda Mi Vida,Jay Pérez,tejano latin spanish los angeles chorus latin pop hip hop latin soul male dance,201.21,-6.64,0.0,0.0,7,1,201.3
Lift Jesus Up,The Jackson Southernaires,southern gospel spiritual gospel black gospel christian soul traditional gospel mississippi contemporary gospel quartet,103.92,-8.92,0.0,0.0,6,1,235.4
Jubilation T. Cornpone,Shelly Manne,hard bop cool jazz bebop jazz soundtrack soul jazz free improvisation marimba disco downtempo,125.69,-16.39,0.0,0.0,0,1,190.7
Lookin' for My Baby,Little Milton,electric blues soul blues blues chicago blues delta blues jazz funk r&b chicago soul ballad funk,110.3,-11.8,0.0,0.0,10,0,175.8
La Rosa,Bobby Pulido,tejano tex mex cumbia latin pop latin spanish american country texas nortena,196.68,-8.43,0.0,0.0,9,1,188.0
The Way Of Love (West Coast Diaries Vol. 1 Album Version),Charlie Peacock,ccm christian rock soft rock bluegrass singer-songwriter rock jazz pop electronica christian,114.22,-10.46,0.0,0.0,11,0,227.6
The Harbour,Dario Marianelli,symphony chill-out chamber pop neoclassical easy listening jazz soundtrack classical modern contemporary classical music,126.61,-22.07,0.0,0.0,5,1,228.0
Slow And Low,RUN-DMC,hip hop old school hip hop east coast rap rap hardcore rap hard rock rap rock gangster rap rapcore eurodance,163.88,-7.66,0.0,0.0,6,0,266.2
Dio Nisia,Giorgos Sabanis,greek,116.02,-9.3,0.0,0.0,2,1,247.7
L'idole des femmes,Pierre Perret,chanson oldies electronic experimental singer-songwriter ambient industrial humorous french rock,112.03,-8.65,0.0,0.0,2,1,143.5
All Or Nothing  (Wonderful World Album Version),Chris Eaton,ccm jazz fusion electronic singer-songwriter jazz soundtrack nu jazz aor christian contemporary christian,100.81,-12.18,0.0,0.0,7,1,287.7
I Don't Like You,"Buzzov¬""en",sludge metal alternative metal stoner metal breakbeat stoner rock nu metal doom metal hardcore punk indie rock thrash metal,96.38,-6.28,0.0,0.0,1,1,333.6
Together We Stand (Album Version),The Winans,ccm new jack swing disco urban downtempo hip hop europop neo soul soul jazz doo-wop,135.91,-8.71,0.0,0.0,8,1,300.6
Take The Time,Michael Stanley Band,heartland rock southern rock classic rock pop rock rock funk alternative rock classic aor indie,182.72,-8.93,0.0,0.0,9,1,335.1
Cet Air Étrange (Take 1 - Abbey Road Rough Mix),Étienne Daho,chanson pop rock downtempo trip hop new wave rock electronic pop ballad synthpop,140.12,-6.9,0.0,0.0,4,1,237.5
Young Urbans,Punk'd Royal,dance-punk new wave emo electro punk pop indie garage english bass,96.12,-5.03,0.0,0.0,5,1,276.4
You Gotta Be Safe,Twenty 4 Seven,happy hardcore pop rap europop hip house hard trance disco progressive house ballad electronic hip hop,139.91,-9.05,0.0,0.0,7,1,223.2
